f,i0,i1,i2
930,3322,932,3323
931,2294,2329,6120
932,1610,1619,4666
933,2270,395,7059
934,5446,6812,6976
935,1037,3528,5457
936,4730,148,5780
937,946,3350,3351
938,4410,3311,5874
939,2097,2056,4847
940,2689,651,2753
941,393,351,4895
942,5411,3435,6380
943,4770,199,6033
944,199,5782,6033
945,1059,4477,6430
946,3753,3752,6672
947,2261,4903,6097
948,1481,1334,5194
949,1461,3894,5675
950,1326,2788,3835
951,2394,2425,6933
952,2111,2113,4853
953,2030,1319,4195
954,368,1488,2199
955,368,2199,2221
956,1302,1740,4087
957,484,1317,2423
958,3457,5423,5424
959,2767,1938,6719
960,2931,2899,4328
961,2061,317,2063
962,2063,317,2108
963,4731,6647,6905
964,625,2682,5079
965,2871,738,5152
966,1021,3515,3517
967,6302,3156,6303
968,6594,781,6888
969,4013,1220,4016
970,5034,2603,5038
971,1772,1767,4718
972,1330,1457,7233
973,3112,5266,6298
974,1131,3734,6468
975,5932,5574,6084
976,881,5288,6304
977,881,6304,6774
978,2755,2787,5118
979,4706,1743,4710
980,1467,16,1483
981,6371,5401,6801
982,1860,1861,4759
983,788,2985,3017
984,3682,3681,4523
985,1716,97,4696
986,4595,3968,5725
987,121,1668,4135
988,1693,121,4135
989,837,840,5241
990,1098,4524,5541
991,3423,3447,3448
992,6074,2126,6664
993,2465,493,2467
994,4398,5864,6322
995,981,971,3401
996,3741,3764,5934
997,1486,925,3290
998,925,3279,3290
999,4314,752,5180
1000,752,4318,5180
1001,970,3394,4433
1002,2635,2629,4274
1003,423,2368,2369
1004,7012,381,7059
1005,5051,2639,5052
1006,5065,6885,6996
1007,262,2045,2054
1008,786,4343,5211
1009,3745,5567,5929
1010,1405,1264,5791
1011,4505,3647,4506
1012,1506,1328,2955
1013,4091,2648,6209
1014,3420,5398,5404
1015,663,2666,2667
1016,375,343,6913
1017,734,2842,2916
1018,5705,6534,6539
1019,708,761,2898
1020,1539,48,1551
1021,1551,48,1561
1022,983,5397,5400
1023,2895,764,4317
1024,550,2541,2542
1025,550,2542,5014
1026,1194,5677,6524
1027,307,5360,5792
1028,307,5792,6349
1029,2944,771,3017
1030,4414,3357,5364
1031,824,1307,6275
1032,2238,1382,3668
1033,3395,3355,5386
1034,3822,3842,5624
1035,3842,5608,5624
1036,1361,4141,5075
1037,1986,249,2015
1038,626,1348,1359
1039,626,1359,1462
1040,6269,3077,6757
1041,2087,4200,4842
1042,2800,714,2812
1043,3249,3247,4395
1044,1727,1728,4143
1045,347,1385,1400
1046,16,18,5965
1047,1191,3873,5657
1048,2830,715,2943
1049,1831,1837,1852
1050,1406,3274,5319
1051,1561,3159,3914
1052,816,5844,6598
1053,894,890,6765
1054,3048,4350,6284
1055,2105,315,4849
1056,2364,1366,4945
1057,4465,3532,5894
1058,1701,106,4698
